gene,FL_OD
wza_gfp_ctrl,1210
wza_gfp_ctrl,1650
wza_gfp_ctrl,1800
wza_gfp_MicF,1131
wza_gfp_MicF,423
wza_gfp_MicF,1985
sbcB_gfp_ctrl,12936
sbcB_gfp_ctrl,15619
sbcB_gfp_ctrl,15680
sbcB_gfp_MicF,12044
sbcB_gfp_MicF,7651
sbcB_gfp_MicF,11564
ysaB_gfp_ctrl,1051
ysaB_gfp_ctrl,624
ysaB_gfp_ctrl,1622
ysa_gfp_MicF,2379
ysa_gfp_MicF,2243
ysa_gfp_MicF,2644
smrB_gfp_ctrl,1968
smrB_gfp_ctrl,1791
smrB_gfp_ctrl,2644
smrB_gfp_MicF,NA
smrB_gfp_MicF,3802
smrB_gfp_MicF,3871
seqA_gfp_ctrl,3021
seqA_gfp_ctrl,2239
seqA_gfp_ctrl,2836
seqA_gfp_MicF,NA
seqA_gfp_MicF,3289
seqA_gfp_MicF,1836
hypB_gfp_ctrl,6626
hypB_gfp_ctrl,10334
hypB_gfp_ctrl,9878
hypB_gfp_MicF,5366
hypB_gfp_MicF,8934
hypB_gfp_MicF,9185
serA_gfp_ctrl,3823
serA_gfp_ctrl,2692
serA_gfp_ctrl,1937
serA_gfp_MicF,1957
serA_gfp_MicF,2426
serA_gfp_MicF,2656
rsmD_gfp_ctrl,2757
rsmD_gfp_ctrl,2447
rsmD_gfp_ctrl,3041
rsmD_gfp_MicF,2239
rsmD_gfp_MicF,2785
rsmD_gfp_MicF,2091
lrp_gfp_ctrl,2248
lrp_gfp_ctrl,3465
lrp_gfp_ctrl,5344
lrp_gfp_MicF,2194
lrp_gfp_MicF,3572
lrp_gfp_MicF,2083
ybaY_gfp_ctrl,9450
ybaY_gfp_ctrl,6896
ybaY_gfp_ctrl,7119
ybaY_gfp_MicF,6957
ybaY_gfp_MicF,5611
ybaY_gfp_MicF,5668
